word1,word2,human_score,glove_score,bert_score
love,sex,6.77,7.144148349761963,8.651578426361084
tiger,cat,7.35,6.564453601837158,8.56370747089386
tiger,tiger,10.0,10.0,10.0
book,paper,7.46,7.271080017089844,8.254770040512085
computer,keyboard,7.62,7.207305431365967,8.69496464729309
computer,internet,7.58,7.928891181945801,8.373225331306458
plane,car,5.77,6.9076080322265625,8.263232409954071
train,car,6.31,7.336681365966797,8.261406421661377
telephone,communication,7.5,7.359455585479736,8.479012846946716
television,radio,6.77,8.39484977722168,8.328468799591064
media,radio,7.42,7.363814830780029,8.188356161117554
drug,abuse,6.85,7.234463214874268,7.967139780521393
bread,butter,6.19,8.112817764282227,8.777414858341217
cucumber,potato,5.92,7.259734153747559,8.764649629592896
doctor,nurse,7.0,7.9299092292785645,8.31325113773346
professor,doctor,6.62,7.097683429718018,8.719170093536377
student,professor,6.81,7.289583206176758,8.186990320682526
smart,student,4.62,6.151375770568848,8.019490242004395
smart,stupid,5.81,7.138065814971924,8.491290807723999
company,stock,7.08,7.347491264343262,8.401018381118774
stock,market,8.08,8.371753692626953,8.69201123714447
stock,phone,1.62,6.195062637329102,8.037930130958557
stock,CD,1.31,5.0,7.765624821186066
stock,jaguar,0.92,5.316684722900391,7.866005897521973
stock,egg,1.81,5.712770462036133,8.17874014377594
fertility,egg,6.69,6.132371425628662,8.382219076156616
stock,live,3.73,5.661497592926025,7.977544069290161
stock,life,0.92,6.135429382324219,7.926446795463562
book,library,7.46,7.0826568603515625,8.692821860313416
bank,money,8.12,7.181527137756348,8.41709315776825
wood,forest,7.73,6.991937637329102,8.807993829250336
money,cash,9.15,8.668107986450195,9.345580339431763
professor,cucumber,0.31,4.7291059494018555,7.513017058372498
king,cabbage,0.23,4.9263916015625,7.498129904270172
king,queen,8.58,8.168233871459961,8.4751957654953
king,rook,5.92,5.957186222076416,7.801229357719421
bishop,rabbi,6.69,6.659473419189453,8.415376543998718
Jerusalem,Israel,8.46,5.0,8.737088441848755
Jerusalem,Palestinian,7.65,5.0,8.17008376121521
holy,sex,1.62,5.74958610534668,7.95435756444931
fuck,sex,9.44,5.353677749633789,8.380393981933594
Maradona,football,8.62,5.0,8.03460568189621
football,soccer,9.03,8.841296195983887,8.800516724586487
football,basketball,6.81,8.670511245727539,8.319009244441986
football,tennis,6.63,7.314897060394287,7.934312224388123
tennis,racket,7.56,6.71605920791626,8.894752860069275
Arafat,peace,6.73,5.0,8.073766827583313
Arafat,terror,7.65,5.0,7.542072534561157
Arafat,Jackson,2.5,5.0,7.062535881996155
law,lawyer,8.38,7.246394157409668,8.910140991210938
movie,star,7.38,7.522554397583008,7.916901409626007
movie,popcorn,6.19,6.53464412689209,8.099958896636963
movie,critic,6.73,6.368993759155273,7.794614136219025
movie,theater,7.92,7.392333984375,8.388132452964783
physics,proton,8.12,5.541223526000977,8.27178955078125
physics,chemistry,7.35,8.689948081970215,8.79184365272522
space,chemistry,4.88,5.870512962341309,8.178279995918274
alcohol,chemistry,5.54,5.760944366455078,8.225032091140747
vodka,gin,8.46,7.986574172973633,8.908866047859192
vodka,brandy,8.13,7.7575201988220215,8.70476633310318
drink,car,3.04,6.137862205505371,7.7277833223342896
drink,ear,1.31,5.512474060058594,7.565198540687561
drink,mouth,5.96,6.239348411560059,8.07632714509964
drink,eat,6.87,8.060656547546387,8.690396547317505
baby,mother,7.85,7.724722862243652,8.210678696632385
drink,mother,2.65,6.028162956237793,7.625342011451721
car,automobile,8.94,7.977863311767578,9.344812035560608
gem,jewel,8.96,7.4127726554870605,9.06936526298523
journey,voyage,9.29,8.29252815246582,8.895061612129211
boy,lad,8.83,6.521996974945068,8.66769552230835
coast,shore,9.1,7.556661128997803,9.07793641090393
asylum,madhouse,8.87,5.069642543792725,8.336090445518494
magician,wizard,9.02,7.477347373962402,8.490459620952606
midday,noon,9.29,8.435708999633789,9.47742909193039
furnace,stove,8.79,7.7884697914123535,8.47658634185791
food,fruit,7.52,7.1329522132873535,8.784593939781189
bird,cock,7.1,6.20363712310791,8.511960506439209
bird,crane,7.38,6.464112281799316,8.140431940555573
tool,implement,6.46,6.433403015136719,8.431748747825623
brother,monk,6.27,6.563223838806152,7.9148125648498535
crane,implement,2.69,4.946563243865967,7.359760999679565
lad,brother,4.46,5.703007698059082,8.254101574420929
journey,car,5.85,5.922719955444336,7.915930449962616
monk,oracle,5.0,4.763872146606445,7.809271812438965
cemetery,woodland,2.08,6.535124778747559,7.791900932788849
food,rooster,4.42,5.195324897766113,7.732230722904205
coast,hill,4.38,5.8271636962890625,7.872188687324524
forest,graveyard,1.85,5.5586748123168945,7.861160039901733
shore,woodland,3.08,5.6985039710998535,7.879994511604309
monk,slave,0.92,5.442762851715088,8.005530834197998
coast,forest,3.15,6.457880973815918,8.24961006641388
lad,wizard,0.92,6.014924049377441,8.121176362037659
chord,smile,0.54,5.502680778503418,7.678840160369873
glass,magician,2.08,5.298079967498779,7.469155341386795
noon,string,0.54,4.964804649353027,7.687114775180817
rooster,voyage,0.62,4.80116605758667,7.178849428892136
money,dollar,8.42,7.216144561767578,8.87449860572815
money,cash,9.08,8.668107986450195,9.345580339431763
money,currency,9.04,6.831331253051758,8.97783100605011
money,wealth,8.27,7.428336143493652,8.849217891693115
money,property,7.57,6.968697547912598,8.173017501831055
money,possession,7.29,6.20936393737793,7.8294941782951355
money,bank,8.5,7.181527137756348,8.41709315776825
money,deposit,7.73,6.814767837524414,8.482503592967987
money,withdrawal,6.88,6.035676956176758,8.286020755767822
money,laundering,5.65,7.368381500244141,7.974861264228821
money,operation,3.31,6.438580513000488,7.835202217102051
tiger,jaguar,8.0,6.59303617477417,8.69701087474823
tiger,feline,8.0,5.761905193328857,8.543409705162048
tiger,carnivore,7.08,5.176109313964844,8.149296939373016
tiger,mammal,6.85,5.759970664978027,8.08830976486206
tiger,animal,7.0,6.61918830871582,8.448782563209534
tiger,organism,4.77,5.12090539932251,7.589066028594971
tiger,fauna,5.62,5.621779441833496,7.847900986671448
tiger,zoo,5.87,6.716801643371582,8.162173330783844
psychology,psychiatry,8.08,8.135753631591797,8.766272068023682
psychology,anxiety,7.0,6.117544651031494,8.260319828987122
psychology,fear,6.85,5.3806328773498535,8.15381646156311
psychology,depression,7.42,5.843997478485107,8.20745587348938
