word1,word2,human_score,model_score,absolute_difference
love,sex,6.77,7.144148349761963,0.3741483497619633
tiger,cat,7.35,6.564453601837158,0.7855463981628414
tiger,tiger,10.0,10.0,0.0
book,paper,7.46,7.271080017089844,0.18891998291015621
computer,keyboard,7.62,7.207305431365967,0.4126945686340333
computer,internet,7.58,7.928891181945801,0.3488911819458007
plane,car,5.77,6.9076080322265625,1.137608032226563
train,car,6.31,7.336681365966797,1.0266813659667973
telephone,communication,7.5,7.359455585479736,0.14054441452026367
television,radio,6.77,8.39484977722168,1.6248497772216801
media,radio,7.42,7.363814830780029,0.05618516921997063
drug,abuse,6.85,7.234463214874268,0.38446321487426793
bread,butter,6.19,8.112817764282227,1.9228177642822262
cucumber,potato,5.92,7.259734153747559,1.3397341537475587
doctor,nurse,7.0,7.9299092292785645,0.9299092292785645
professor,doctor,6.62,7.097683429718018,0.47768342971801747
student,professor,6.81,7.289583206176758,0.4795832061767582
smart,student,4.62,6.151375770568848,1.5313757705688475
smart,stupid,5.81,7.138065814971924,1.3280658149719242
company,stock,7.08,7.347491264343262,0.26749126434326165
stock,market,8.08,8.371753692626953,0.29175369262695305
stock,phone,1.62,6.195062637329102,4.5750626373291015
stock,CD,1.31,5.0,3.69
stock,jaguar,0.92,5.316684722900391,4.396684722900391
stock,egg,1.81,5.712770462036133,3.9027704620361328
fertility,egg,6.69,6.132371425628662,0.5576285743713383
stock,live,3.73,5.661497592926025,1.9314975929260254
stock,life,0.92,6.135429382324219,5.215429382324219
book,library,7.46,7.0826568603515625,0.37734313964843746
bank,money,8.12,7.181527137756348,0.9384728622436516
wood,forest,7.73,6.991937637329102,0.7380623626708989
money,cash,9.15,8.668107986450195,0.48189201354980504
professor,cucumber,0.31,4.7291059494018555,4.419105949401856
king,cabbage,0.23,4.9263916015625,4.6963916015625
king,queen,8.58,8.168233871459961,0.41176612854003913
king,rook,5.92,5.957186222076416,0.03718622207641609
bishop,rabbi,6.69,6.659473419189453,0.030526580810547266
Jerusalem,Israel,8.46,5.0,3.460000000000001
Jerusalem,Palestinian,7.65,5.0,2.6500000000000004
holy,sex,1.62,5.74958610534668,4.12958610534668
fuck,sex,9.44,5.353677749633789,4.08632225036621
Maradona,football,8.62,5.0,3.619999999999999
football,soccer,9.03,8.841296195983887,0.18870380401611264
football,basketball,6.81,8.670511245727539,1.8605112457275395
football,tennis,6.63,7.314897060394287,0.6848970603942872
tennis,racket,7.56,6.71605920791626,0.8439407920837398
Arafat,peace,6.73,5.0,1.7300000000000004
Arafat,terror,7.65,5.0,2.6500000000000004
Arafat,Jackson,2.5,5.0,2.5
law,lawyer,8.38,7.246394157409668,1.1336058425903328
movie,star,7.38,7.522554397583008,0.14255439758300792
movie,popcorn,6.19,6.53464412689209,0.34464412689208945
movie,critic,6.73,6.368993759155273,0.361006240844727
movie,theater,7.92,7.392333984375,0.5276660156249999
physics,proton,8.12,5.541223526000977,2.5787764739990227
physics,chemistry,7.35,8.689948081970215,1.3399480819702152
space,chemistry,4.88,5.870512962341309,0.9905129623413087
alcohol,chemistry,5.54,5.760944366455078,0.2209443664550781
vodka,gin,8.46,7.986574172973633,0.47342582702636804
vodka,brandy,8.13,7.7575201988220215,0.3724798011779793
drink,car,3.04,6.137862205505371,3.097862205505371
drink,ear,1.31,5.512474060058594,4.202474060058593
drink,mouth,5.96,6.239348411560059,0.27934841156005863
drink,eat,6.87,8.060656547546387,1.1906565475463866
baby,mother,7.85,7.724722862243652,0.1252771377563473
drink,mother,2.65,6.028162956237793,3.378162956237793
car,automobile,8.94,7.977863311767578,0.9621366882324214
gem,jewel,8.96,7.4127726554870605,1.5472273445129403
journey,voyage,9.29,8.29252815246582,0.9974718475341788
boy,lad,8.83,6.521996974945068,2.3080030250549317
coast,shore,9.1,7.556661128997803,1.543338871002197
asylum,madhouse,8.87,5.069642543792725,3.8003574562072746
magician,wizard,9.02,7.477347373962402,1.5426526260375972
midday,noon,9.29,8.435708999633789,0.8542910003662101
furnace,stove,8.79,7.7884697914123535,1.0015302085876456
food,fruit,7.52,7.1329522132873535,0.38704778671264606
bird,cock,7.1,6.20363712310791,0.8963628768920895
bird,crane,7.38,6.464112281799316,0.9158877182006835
tool,implement,6.46,6.433403015136719,0.026596984863281214
brother,monk,6.27,6.563223838806152,0.29322383880615277
crane,implement,2.69,4.946563243865967,2.256563243865967
lad,brother,4.46,5.703007698059082,1.243007698059082
journey,car,5.85,5.922719955444336,0.07271995544433629
monk,oracle,5.0,4.763872146606445,0.2361278533935547
cemetery,woodland,2.08,6.535124778747559,4.4551247787475585
food,rooster,4.42,5.195324897766113,0.7753248977661134
coast,hill,4.38,5.8271636962890625,1.4471636962890626
forest,graveyard,1.85,5.5586748123168945,3.7086748123168944
shore,woodland,3.08,5.6985039710998535,2.6185039710998534
monk,slave,0.92,5.442762851715088,4.522762851715088
coast,forest,3.15,6.457880973815918,3.307880973815918
lad,wizard,0.92,6.014924049377441,5.0949240493774415
chord,smile,0.54,5.502680778503418,4.962680778503418
glass,magician,2.08,5.298079967498779,3.2180799674987792
noon,string,0.54,4.964804649353027,4.424804649353027
rooster,voyage,0.62,4.80116605758667,4.18116605758667
money,dollar,8.42,7.216144561767578,1.2038554382324218
money,cash,9.08,8.668107986450195,0.41189201354980476
money,currency,9.04,6.831331253051758,2.2086687469482413
money,wealth,8.27,7.428336143493652,0.8416638565063472
money,property,7.57,6.968697547912598,0.6013024520874026
money,possession,7.29,6.20936393737793,1.0806360626220703
money,bank,8.5,7.181527137756348,1.3184728622436523
money,deposit,7.73,6.814767837524414,0.9152321624755864
money,withdrawal,6.88,6.035676956176758,0.8443230438232421
money,laundering,5.65,7.368381500244141,1.7183815002441403
money,operation,3.31,6.438580513000488,3.1285805130004882
tiger,jaguar,8.0,6.59303617477417,1.40696382522583
tiger,feline,8.0,5.761905193328857,2.2380948066711426
tiger,carnivore,7.08,5.176109313964844,1.9038906860351563
tiger,mammal,6.85,5.759970664978027,1.0900293350219723
tiger,animal,7.0,6.61918830871582,0.3808116912841797
tiger,organism,4.77,5.12090539932251,0.3509053993225102
tiger,fauna,5.62,5.621779441833496,0.0017794418334959872
tiger,zoo,5.87,6.716801643371582,0.8468016433715819
